Disease,Recommended treatments,Source links
Aphid,"Imidacloprid seed treatment; Foliar insecticides (dimethoate, pyrethroids)",https://onlinelibrary.wiley.com/doi/full/10.1002/ps.4090 | https://pnwhandbooks.org/insect/agronomic/small-grain/small-grain-russian-wheat-aphid
Black Rust,"Triazole fungicides (e.g., tebuconazole); Strobilurin fungicides (e.g., azoxystrobin)",https://www.cropscience.bayer.us/articles/cp/wheat-rust-diseases | https://pnwhandbooks.org/plantdisease/host-disease/wheat-triticum-aestivum-stem-rust-black-rust
Blast,Tebuconazole + Pyraclostrobin; Azoxystrobin + Tebuconazole,https://ageconsearch.umn.edu/record/312377 | https://site.extension.uga.edu/turnerab/2022/03/2022-wheat-disease-and-fungicide-update-ethredge-martinez-espinoza/
Brown Rust,Tebuconazole; Azoxystrobin + Tebuconazole mixtures,https://extension.uga.edu/publications/detail.html?number=C1060 | https://www.extension.purdue.edu/extmedia/BP/BP-162-W.pdf
Common Root Rot,"Seed treatment fungicides (fludioxonil, pyraclostrobin + triticonazole)",https://extensionpubs.unl.edu/publication/g1998/na/pdf/view | https://pnwhandbooks.org/plantdisease/host-disease/wheat-triticum-aestivum-common-root-rot-seedling-blight
Fusarium Head Blight,Prothioconazole + Tebuconazole (Prosaro); Pydiflumetofen + Prothioconazole (Miravis Ace),https://site.extension.uga.edu/turnerab/2022/03/2022-wheat-disease-and-fungicide-update-ethredge-martinez-espinoza/ | https://utextension.tennessee.edu/publications/wp-content/uploads/sites/269/2023/10/W341.pdf
Leaf Blight,Chlorothalonil; Mancozeb,https://hort.extension.wisc.edu/articles/home-vegetable-garden-fungicides/ | https://patents.google.com/patent/EP2908638A1/en
Mildew,Triadimenol seed treatment; Azoxystrobin foliar spray,https://plantpathology.ca.uky.edu/files/ppfs-ag-sg-05.pdf | https://pmc.ncbi.nlm.nih.gov/articles/PMC9149294/
Mite,Dimethoate; Pyrethroids (lambda-cyhalothrin),https://extension.colostate.edu/topic-areas/insects/mites-in-wheat-5-578/ | https://ipm.ucanr.edu/agriculture/small-grains/mites/
Septoria,Propiconazole; Azoxystrobin,https://cropprotectionnetwork.org/encyclopedia/septoria-tritici-blotch-of-wheat | https://ipm.ucanr.edu/agriculture/small-grains/septoria-tritici-blotch-of-wheat/
Smut,Tebuconazole seed treatment; Difenoconazole seed treatment,https://eupdate.agronomy.ksu.edu/article_new/updated-seed-treatment-fungicides-for-wheat-disease-management-2020-now-available-402-3 | https://agsci.colostate.edu/wheat/wp-content/uploads/sites/85/2020/08/MF2955.pdf
Stem fly,No effective chemical control; use cultural practices,https://efotg.sc.egov.usda.gov/references/public/MT/Wheat_Stem_Sawfly_Best_Mgmt_Practices%2C_Agronomy_Technical_Note_MT-95.pdf
Tan spot,Tebuconazole; Trifloxystrobin,https://extensionpubs.unl.edu/publication/g429/2012/html/view | https://wynnstay.co.uk/blog/your-guide-to-septoria-tritici-blotch/?srsltid=AfmBOops1ok4qg-m9yp3FoJ9_nhyLbTWiv-Vwmkly44dTOS2_IXHm945
Yellow Rust,Prothioconazole + Azoxystrobin (Trivapro); Tebuconazole,https://site.extension.uga.edu/turnerab/2022/03/2022-wheat-disease-and-fungicide-update-ethredge-martinez-espinoza/ | https://agriculture.okstate.edu/fact-sheets/foliar-fungicides-and-wheat-production-in-oklahoma-march-2016.html
